S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
329,Nexus Select,138.1,,20922.15,2212.08,9.46,644.26,4.25,32.47,,1.42,634517,,97.41,-4.63,151.5,0.29
330,Five-Star Bus.Fi,710.75,710.75,20786.78,2368.62,8.78,903.78,30.93,23.00,0.00,4.00,239024,1,177.68,6.57,29.25,1.22
331,Tejas Networks,1206.4,120.64,20633.86,3845.56,5.36,166.75,9.75,123.74,0.00,6.54,184239,10,184.5,-47.21,17.1,0.60
332,Devyani Intl.,170.31,170.31,20543.54,3931.58,5.23,14.36,0.54,309.37,0.00,19.45,4879817,1,8.76,145.81,120.62,2.75
333,Aditya AMC,708.75,141.75,20419.07,1428.64,14.29,831.52,28.86,24.56,1.90,6.44,257471,5,110,13.12,28.81,0.02
334,Jyothy Labs,555.95,555.95,20414.96,2811.64,7.26,374.74,10.21,54.48,0.63,11.29,624775,1,49.24,30.12,36.72,0.03
335,PTC Industries,14064.05,1406.41,20309.72,232.24,87.20,35.84,25.62,566.68,0.00,31.46,5590,10,447.06,-66.71,1.44,0.28
336,Mindspace Busine,340.2,,20174.48,2503.68,8.06,562.1,8.87,36.82,,1.44,112626,,236.32,8.34,59.3,0.54
337,CIE Automotive,531.3,53.13,20155.52,9239.3,2.18,991.67,26.14,24.87,0.94,3.25,118293,10,163.32,-5.92,37.94,0.08
338,Jindal Saw,628.85,314.43,20107.74,21486.46,0.94,1764.78,57.92,11.39,0.64,1.99,639653,2,315.61,-13.31,31.98,0.57
339,Anant Raj,586.15,293.08,20039.93,1638.97,12.23,306.82,9.02,66.61,0.12,5.48,7057982,2,106.95,8.33,34.19,0.17
340,Shyam Metalics,711.1,71.11,19849.07,13473.8,1.47,1105.83,41.69,18.00,0.63,2.06,1429774,10,345.6,26.45,27.91,0.06
341,Kalpataru Proj.,1221.15,610.58,19837.11,19972,0.99,487,30.04,41.41,0.66,3.86,169735,2,316.29,-50.30,16.24,0.78
342,Cyient,1785.25,357.05,19802.96,7136.4,2.77,681.3,59.42,28.37,1.68,4.65,400637,5,383.99,-25.04,11.09,0.18
343,GE Shipping Co,1380,138,19701.87,5479.71,3.60,2849.85,199.62,6.91,2.09,1.59,704142,10,868.37,-10.29,14.28,0.25
344,Schneider Elect.,823.4,411.7,19687.49,2304.34,8.54,185.59,7.76,104.21,0.00,66.47,247052,2,12.39,1378.05,23.91,1.85
345,Chambal Fert.,491.05,49.11,19674.03,17310.36,1.14,1385.47,33.8,14.20,1.53,2.70,1891895,10,181.54,363.19,40.07,0.26
346,Aster DM Health.,391.1,39.11,19535.96,6246.76,3.13,5343.93,105.49,103.86,0.51,4.67,633452,10,83.79,237528.57,49.95,0.42
347,Angel One,2160.15,216.02,19460.37,4869.68,4.00,1197.48,140.26,16.25,1.60,5.97,448678,10,361.7,-13.89,9.01,0.84
348,NCC,309.85,154.93,19453.83,21992.55,0.88,778.72,11.9,25.35,0.71,2.93,5698052,2,105.75,-6.79,62.78,0.15
349,Cello World,879.5,175.9,19426.84,2029.15,9.57,362.5,16.18,57.78,0.17,16.24,121245,5,54.15,-7.28,22.09,0.32
350,Relaxo Footwear,778,778,19367.42,2923.43,6.62,188.52,7.57,102.73,0.39,9.68,150284,1,80.39,-27.72,24.89,0.10
