S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
3668,KJMC Corporate,81.25,8.13,31.90,10.11,3.13,2.52,6.42,12.66,0.00,0.54,1804,10,149.53,366.67,0.39,0.01
3669,S P Capital Fin.,53,5.3,31.85,3,10.60,0.79,1.31,40.32,3.30,1.50,859,10,35.28,20.83,0.6,2.63
3670,EP Biocomposites,189,18.9,31.78,11.44,2.81,1.15,6.84,27.63,0.00,3.32,500,10,56.85,322.73,0.17,0.19
3671,Stanrose Mafat.,80,8,31.76,0.98,32.65,-7.81,-19.68,,0.00,0.66,1598,10,120.82,96.53,0.4,0.05
3672,Laffans Petroch,39.64,3.96,31.71,7.26,4.37,5.94,7.42,5.34,0.00,0.51,33656,10,77.02,313.55,0.8,0.01
3673,Oriental Trimex,10.78,1.08,31.70,3.86,8.21,-6.09,-2.07,,0.00,0.52,129869,10,20.77,108.63,2.94,0.11
3674,Jay Kailash,63.01,6.3,31.49,11.52,2.73,0.7,2.08,44.99,0.00,,1600,10,,,0.5,1.36
3675,Intec Capital,17.14,1.71,31.48,2.72,11.59,-1.69,-0.92,,0.00,0.92,2948,10,18.68,-188.00,1.84,1.62
3676,Phaarmasia,45.9,4.59,31.35,32,0.98,0.03,0.04,1045.00,0.00,3.04,160,10,15.09,-40.43,0.68,0.01
3677,Educomp Sol.,2.56,1.28,31.35,4.14,7.57,-33.81,-2.76,,0.00,,0,2,-249.93,-422.95,12.25,
3678,Global Longlife,29.84,2.98,31.33,13.51,2.32,-2.19,-2.09,,0.00,1.21,31000,10,24.7,-412.62,1.05,0.49
3679,Bangalore Fort,65.12,6.51,31.25,43.49,0.72,0.42,0.88,74.40,0.00,4.06,580,10,16.04,166.67,0.48,0.37
3680,Ace Integrated,30.63,3.06,31.24,10.09,3.10,0.44,0.43,71.00,0.00,1.64,56329,10,18.66,-93.24,1.02,0.01
3681,Kaushalya Infra.,901.6,0.9,31.22,0.14,193.20,13.78,395.79,2.27,0.00,0.44,500,1000,2070.17,-101.59,0.03,0.00
3682,Madhusudan Inds.,57.99,11.6,31.20,1.24,25.25,3.19,5.93,9.78,0.00,1.10,3337,5,52.61,371.68,0.54,0.00
3683,COSYN,41.58,4.16,31.19,15.82,1.97,1.22,1.63,25.57,0.00,1.05,11401,10,39.47,-95.12,0.75,0.00
3684,Frontier Capital,18.57,1.86,31.13,0.36,86.66,0.12,0.07,259.42,0.00,12.71,2610,10,1.46,0.00,1.68,0.03
3685,Shricon Indus.,250.9,25.09,31.11,0.48,62.73,0.44,3.55,70.70,0.00,7.19,434,10,34.92,0.00,0.12,0.00
3686,Ranjeet Mechatr.,31.1,3.11,31.10,16.89,1.84,0.13,0.13,239.23,0.00,1.54,6000,10,20.24,-100.00,1,0.41
3687,Kisaan Parivar,35.32,7.06,31.08,4.06,7.66,0.99,1.12,31.39,0.00,6.17,91005,5,5.73,-71.76,0.88,0.00
3688,Pasupati Spinng.,33.22,3.32,31.03,102.96,0.30,0.39,0.42,79.56,0.00,1.02,533,10,32.6,-141.86,0.93,1.70
3689,Salguti Industri,41.09,4.11,30.98,80.31,0.38,0,0,,0.00,3.48,0,10,11.81,173.68,0.75,3.63
3690,Miven Mach. Tool,103,10.3,30.94,1.36,22.72,-0.26,-0.87,,0.00,,94,10,-16.88,-119.51,0.3,
3691,Croissance Ltd,4.51,4.51,30.92,0.22,1405.28,0.05,0,618.40,0.00,39.38,339784,1,0.11,114.29,68.55,0.01
3692,Murae Organisor,1.25,0.63,30.89,1.46,21.16,-1.03,-0.04,,0.00,0.55,4887875,2,2.26,-700.00,24.71,0.00
3693,Incap,60.16,6.02,30.86,19.15,1.60,0.74,1.44,41.70,1.66,1.89,1854,10,31.75,1050.00,0.51,0.04
3694,Sterling Powerg.,60.16,6.02,30.68,17.32,1.77,2.91,5.71,10.54,0.00,109.49,34597,10,0.55,-98.41,0.51,101.81
3696,TCM,40.99,4.1,30.65,30.21,1.02,-2.6,-3.02,,0.00,1.06,33715,10,38.5,-136.96,0.75,0.01
3695,Maris Spinners,37.51,3.75,30.65,156.12,0.20,-6.3,-7.59,,0.00,1.46,4104,10,25.71,-257.89,0.83,3.82
3697,Frontline Corp.,61.25,6.13,30.63,89.87,0.34,1.47,2.94,20.84,0.00,2.45,232,10,25,56.00,0.5,4.56
3698,SMIFS Cap. Mkt.,54.59,5.46,30.52,237.82,0.13,2.7,4.83,10.21,0.00,0.24,3150,10,230.35,-45.45,0.56,0.00
3699,Ventura Textiles,15.68,1.57,30.50,0.13,235.20,9.32,4.79,3.27,0.00,,10585,10,-4.25,96.32,1.95,
3700,B.C. Power,4.36,2.18,30.43,86.94,0.35,0.12,0.02,253.58,0.00,0.75,90759,2,5.83,146.88,6.98,0.02
3701,Nuway Organic,31.59,3.16,30.29,0.01,3032.64,0.22,0.23,137.68,0.00,,0,10,-35.85,0.00,0.96,
3702,Nag. Agri Tech.,32.16,3.22,30.13,2.48,12.19,3.5,3.74,,0.00,4.52,50431,10,7.11,96.91,0.94,0.00
3703,Colorchips New,17.69,1.77,30.09,0.5,60.15,-9.51,-5.59,,0.00,1.02,15438,10,17.39,-5506.25,1.7,0.00
3704,Cil Securities,60.1,6.01,30.05,11.05,2.72,3.01,6.02,9.98,0.00,1.02,20654,10,58.64,-47.37,0.5,0.00
3705,BAMPSL Sec.,8.82,0.88,30.02,10.9,2.75,0.48,0.14,62.54,0.00,0.79,8063,10,11.2,-90.91,3.4,0.00
3706,Flora Textiles,49.99,5,29.99,0.41,73.16,6.22,10.37,4.82,0.00,,2500,10,-10.68,-100.46,0.6,
3707,JMJ Fintech,24.18,2.42,29.98,10.38,2.89,3.77,3.04,7.95,0.00,1.93,12948,10,12.56,295.65,1.24,0.02
3708,Narendra Prop.,42.07,4.21,29.91,15.71,1.90,1.5,2.11,19.94,2.38,0.80,5670,10,52.63,98.02,0.71,0.00
3709,Roselabs Finance,29.9,2.99,29.90,1.14,26.23,-0.12,-0.12,,0.00,,2355,10,-4.44,,1,
3710,Citadel Realty,37.78,3.78,29.82,3.27,9.13,1.15,1.46,25.93,0.00,2.48,3592,10,15.23,18.52,0.79,1.33
3711,Impex Ferro Tech,3.39,0.34,29.81,6.38,4.67,-0.26,-0.03,,0.00,,113200,10,-32.31,-50.85,8.79,
3712,Inditrade Cap.,12.71,1.27,29.68,151.93,0.20,2.85,1.16,10.71,0.00,0.25,61513,10,50.62,-84.78,2.34,1.26
3713,Epuja Spiritech,3.82,3.82,29.65,0.96,30.88,-0.77,-0.1,,0.00,1.78,180067,1,2.15,-5.13,7.76,0.09
3714,Challani Capital,19.75,1.98,29.63,0.97,30.54,0.78,0.52,37.99,0.00,5.23,6575,10,3.77,33.33,1.5,0.00
3715,Madhusudan Sec.,27.89,2.79,29.55,0,,-0.2,-0.15,,0.00,0.15,12817,10,180.04,-272.73,1.06,0.00
3716,Rishabh Sp. Yarn,82.95,8.3,29.54,0,,-0.17,-0.48,,0.00,86.87,0,10,0.95,-1100.00,0.36,0.88
3717,Samyak Internati,47.25,4.73,29.53,50.21,0.58,5.26,8.42,5.58,0.00,0.44,5691,10,108.13,10.61,0.62,0.05
3718,Sharma E I Hosp.,89.89,8.99,29.48,19.73,,0.81,,36.40,0.00,,200,10,,525.00,,0.45
3719,Net Avenue,13.7,13.7,29.39,26.19,1.12,-1.58,-0.74,,0.00,2.81,40000,1,4.87,-446.88,2.15,0.13
3720,Viji Finance,2.06,2.06,29.36,2.01,14.60,-0.02,0,,0.00,2.40,793656,1,0.86,,14.25,1.09
3721,Arrowhead Sepera,156.85,15.69,29.35,24.76,1.20,2.04,10.9,14.39,0.00,1.82,1200,10,86.41,0.00,0.19,0.11
3722,Quadpro ITeS,5.8,2.9,29.32,9.03,3.24,0.81,0.16,36.20,0.00,1.53,72000,2,3.8,378.57,5.05,0.00
3723,Asian Tea & Exp,14.65,1.47,29.30,48.68,0.60,0.09,0.04,325.56,0.00,0.49,10147,10,30.14,150.00,2,0.41
3724,Lerthai Finance,418,41.8,29.26,0,,0.74,10.57,39.54,0.00,2.89,1,10,144.86,-105.19,0.07,0.00
3725,Veerkrupa Jewel,2.23,2.23,29.22,13.85,2.11,0.24,0.02,121.75,0.00,2.20,1987300,1,1.01,,13.11,0.14
3726,California Soft.,18.9,1.89,29.21,4.38,6.69,0.58,0.38,50.36,0.00,2.39,63401,10,7.9,13.33,1.55,0.68
3727,Sangal Papers,222.9,22.29,29.20,183.37,0.16,2.23,17.06,13.09,0.00,0.70,1850,10,317.91,-22.09,0.13,0.64
3728,Compuage Info.,3.39,1.7,29.08,3739.44,0.01,-114.36,-13.33,,0.00,0.17,0,2,20.25,-1718.61,8.58,2.74
3729,Cochin Malabar,163.7,16.37,28.97,0,,0.53,2.94,54.66,0.00,,171,10,-16.28,-116.00,0.18,
3730,Veer Energy,19.34,1.93,28.94,8.05,3.60,0.15,0.1,60.29,0.00,0.45,25786,10,42.78,20.00,1.5,0.00
3731,Best Eastern Hot,17.16,17.16,28.91,6.12,4.74,0.12,0.07,240.92,0.00,12.46,2608,1,1.38,186.36,1.69,1.04
3732,Onesource Ideas,94,9.4,28.91,12.39,2.35,0.12,0.39,240.92,0.00,9.97,1531,10,9.43,161.11,0.31,0.21
3733,Olympia Industri,47.97,4.8,28.90,227.05,0.13,0.9,1.49,32.11,0.00,0.56,17187,10,86.18,45.00,0.6,0.97
3734,Steel Strips Inf,33.4,3.34,28.86,1.27,22.62,2.2,2.55,13.12,0.00,0.32,1582,10,103.66,83.57,0.86,0.02
3735,Kothari Indl,15.05,3.01,28.76,25.13,1.14,45.02,23.56,0.69,0.00,,4222,5,,101.74,1.91,0.87
3736,Blue Chip India,5.17,2.59,28.59,0,,-0.04,-0.01,,0.00,5.97,56118,2,0.87,,5.53,0.00
3737,Suncare Traders,1.12,0.56,28.56,0.04,714.00,0.55,0.02,51.93,0.00,0.72,568995,2,1.56,-125.26,25.5,0.14
3738,Benara Bearings,16.12,1.61,28.54,15.05,1.90,-3.13,-1.77,,0.00,1.49,22000,10,10.8,1.90,1.77,3.14
3740,Lex Nimble Solu.,68,6.8,28.49,3.85,7.42,0.88,2.1,33.13,0.00,1.85,8000,10,36.71,9.52,0.42,0.00
3739,Adhbhut Infra.,25.9,2.59,28.49,1.63,17.48,0.17,0.15,167.59,0.00,,2234,10,-5.57,-242.86,1.1,
3741,H. S. India,17.53,1.75,28.47,26.01,1.09,1.79,1.1,15.82,0.00,0.93,10998,10,18.85,-74.36,1.62,0.63
3742,Nalin Lease Fin.,43.34,4.33,28.42,6.99,4.09,4.33,6.6,6.56,0.00,0.90,6114,10,48.09,31.25,0.66,0.14
3743,Alan Scott Inds.,78.24,7.82,28.41,16.64,1.69,-3.68,-8.99,,0.00,8.62,9292,10,9.08,23.21,0.36,2.55
3744,Sreechem Resins,67.56,6.76,28.38,54.31,0.52,3.01,7.52,9.43,0.00,1.96,1800,10,34.5,-92.77,0.42,0.28
3745,Neil Industries,14.48,1.45,28.31,3.09,9.18,2.34,1.2,12.10,0.00,0.49,1227,10,29.35,-68.04,1.96,0.00
3746,Gayatri Highways,1.18,0.59,28.28,3.22,8.78,-418.37,-17.46,,0.00,,0,2,-73.22,55.47,23.97,
3747,Narmada Agrobase,20.86,2.09,28.26,54.64,0.52,1.93,1.42,14.64,0.00,1.67,5392,10,12.47,67.21,1.35,0.57
3748,Pentokey Organy,45.03,4.5,28.23,2.1,13.51,0.5,0.8,56.46,0.00,3.05,569,10,14.76,0.00,0.63,0.00
3749,Brisk Technovisi,141,14.1,28.20,26.86,1.05,2,10,14.10,0.00,4.15,1600,10,33.95,-68.42,0.2,0.00
3750,Omkar Pharmachem,27.78,2.78,28.02,0.56,50.10,0.19,0.19,147.47,0.00,3.04,0,10,9.15,350.00,1.01,0.03
3751,Shubham Polyspin,23.08,2.31,27.98,49.93,0.56,0.87,0.72,32.16,0.00,1.83,5399,10,12.65,-22.73,1.21,0.59
3752,V R Films & Stud,25.48,2.55,27.97,12.4,2.26,-0.61,-0.56,,0.00,2.43,521,10,10.5,-254.55,1.1,0.87
3753,Shree Securities,0.35,0.35,27.93,0.74,37.74,-59.34,-0.74,,0.00,3.21,6126313,1,0.11,100.10,79.8,0.00
3754,Winsome Yarns,3.94,0.39,27.86,27.44,1.02,-12.06,-1.71,,0.00,,70130,10,-58.67,-216.54,7.07,
3755,Platinumone Bus.,176,17.6,27.85,26.5,1.06,1.47,9.29,18.95,1.14,1.86,1200,10,94.67,,0.16,0.00
3756,Choksi Imaging,71.39,7.14,27.84,2.26,12.32,-0.07,-0.18,,0.00,1.85,10289,10,38.62,16.13,0.39,0.00
3757,Martin Burn,53.99,5.4,27.80,2,14.04,1.21,2.35,22.98,0.00,0.55,105,10,97.87,366.67,0.52,0.20
3758,Quality Foils,97.25,9.73,27.76,154.69,0.18,1.34,4.7,20.72,0.00,0.97,3000,10,100.67,3.03,0.29,1.21
3759,Tarapur Trans,14.23,1.42,27.75,0.16,173.43,13.57,6.96,2.04,0.00,,216316,10,-7.86,4029.73,1.95,
3760,Sunil Industries,66,6.6,27.72,145.51,0.19,2.04,4.86,13.59,0.00,0.61,0,10,107.9,,0.42,1.19
3761,NMS Global,92.07,9.21,27.71,23.98,1.15,0.24,0.8,115.46,0.00,3.26,7104,10,28.25,115.38,0.3,2.40
3762,Zenith Health,5.11,5.11,27.46,13.06,2.10,0.09,0.02,305.11,0.00,3.75,53234,1,1.36,155.17,5.37,0.00
3763,Mega Corp.,2.73,2.73,27.30,4.29,6.36,0.08,0.01,341.25,0.00,1.11,151450,1,2.45,50.00,10,1.50
3764,Amco India,66.26,6.63,27.23,97.54,0.28,1.25,3.04,21.78,0.00,0.76,4860,10,86.64,88.00,0.41,0.28
3765,Sugal & Damani,43.54,4.35,27.21,10.9,2.48,3.26,5.22,8.35,0.00,1.28,7125,10,34.02,176.92,0.62,0.18
3766,Sahara Housing,38.87,3.89,27.21,10.18,2.67,1.26,1.8,21.60,0.00,0.53,11649,10,73.89,-48.89,0.7,0.88
3767,Shubhlaxmi Jewel,30.85,3.09,27.16,68.36,0.40,1.22,1.39,22.26,0.00,1.25,2000,10,24.61,-68.82,0.88,0.49
3768,Associated,200.75,20.08,27.14,5.38,5.22,1.01,10.86,26.87,0.00,,1000,10,,,0.14,0.14
3769,Kamanwala Housin,19.21,1.92,27.07,0.67,40.43,-2.38,-1.69,,0.00,0.39,156650,10,49.46,94.79,1.41,0.02
3770,ECS Biztech,13.14,1.31,27.01,3.33,8.13,2.87,1.4,9.41,0.00,,17871,10,-1.04,-97.45,2.06,
3771,Danube Industrie,4.5,2.25,27.00,90.4,0.30,0.81,0.14,33.33,0.00,1.65,284128,2,2.73,162.86,6,0.60
3772,Chennai Meena,35.95,3.6,26.85,35.47,0.76,-0.82,-1.1,,0.00,,9509,10,-0.44,13.64,0.75,88.58
3773,Command Polymers,28.5,2.85,26.72,10.99,2.44,-2.02,-2.15,,0.00,1.77,4000,10,16.11,-269.12,0.94,0.71
3774,RKD Agri,5.85,5.85,26.69,2.03,13.14,0.05,0.02,533.80,0.00,7.02,0,1,0.83,-100.00,4.56,0.22
3775,Guj. Raffia Inds,49.27,4.93,26.63,32.41,0.82,0.67,1.24,39.75,0.00,1.29,23787,10,38.17,86.67,0.54,0.17
3776,Grand Foundry,8.75,2.19,26.63,0.02,1330.00,-0.72,-0.24,,0.00,,0,4,-1.63,-61.54,3.04,
3777,Sunrest Lifescie,62,6.2,26.61,29.48,0.90,0.23,0.54,115.70,0.00,,1600,10,,,0.43,0.87
3778,Jindal Capital,36.72,3.67,26.48,3.56,7.43,1.41,1.96,18.78,0.00,2.65,10561,10,13.86,1416.67,0.72,0.45
3779,Heads UP Venture,11.99,1.2,26.48,0.19,139.46,-3.69,-1.67,,0.00,1.90,194189,10,6.31,88.27,2.21,0.00
3780,Prime Urban,9.89,4.95,26.35,8.87,2.97,-1.9,-0.71,,0.00,,8119,2,-1.41,8.16,2.66,
3782,Vilin Bio Med,18.85,1.89,26.30,15.8,1.67,0.16,0.11,164.38,0.00,1.15,12000,10,16.37,-179.22,1.4,0.30
3781,MFL India,0.73,0.73,26.30,51.03,0.52,-1.98,-0.05,,0.00,,2176695,1,0,98.66,36.03,
3783,Jayshree Chem.,8.95,0.9,26.25,14.19,1.85,-3.5,-1.19,,0.00,2.52,16119,10,3.56,96.53,2.93,0.05
3784,Pan Electronics,65.45,6.55,26.18,2.53,10.35,-3.82,-9.55,,0.00,,199,10,-61.25,50.00,0.4,
3785,Kkalpana Plastic,47.35,4.74,26.18,0,,-0.03,-0.05,,0.00,4.22,1035,10,11.23,83.33,0.55,0.00
3786,Nirav Commercial,668,66.8,26.05,9.96,2.68,-1.56,-39.8,,0.00,0.88,10,10,761.99,101.60,0.04,0.01
3787,Naturo Indiabull,13.8,1.38,26.03,41.88,0.62,0.99,0.52,26.29,0.00,0.68,4000,10,20.33,-69.74,1.89,0.32
3788,Cont. Securities,9.91,4.96,26.02,1.87,13.94,0.94,0.4,27.68,0.00,1.92,75895,2,5.17,75.00,2.63,0.02
3789,Valson Industrie,33.95,3.4,26.01,120.3,0.22,0.98,1.28,26.54,0.00,0.97,4198,10,35.13,-86.49,0.77,0.63
3790,Bervin Invest.,43.85,4.39,25.87,0,,-1.14,-1.93,,0.00,0.67,413,10,65.78,210.13,0.59,0.00
3791,Northlink Fiscal,49.13,4.91,25.79,0.62,42.00,-0.12,-0.23,,0.00,4.42,66,10,11.12,-175.00,0.53,0.20
3792,Vikas Proppant,0.5,0.5,25.73,1.55,16.60,-14.56,-0.28,,0.00,0.14,888674,1,3.64,-100.00,51.47,0.26
3793,Modern Steels,18.69,1.87,25.72,0,,0.89,0.65,28.90,0.00,1.92,2838,10,9.73,-103.09,1.38,0.02
3794,Kapil Raj Financ,23.5,2.35,25.71,0,,-0.15,-0.14,,0.00,2.11,20,10,11.16,-100.00,1.09,0.00
3795,Osiajee Texfab,47.49,4.75,25.64,2.28,11.25,1.07,1.98,23.96,0.21,2.57,49401,10,18.44,-56.67,0.54,0.61
3796,Colinz Labs,56.06,5.61,25.63,6.88,3.75,0.51,1.12,50.25,0.00,2.86,740,10,19.58,0.00,0.46,0.06
3797,Triveni Glass,20.3,2.03,25.62,0,,3.25,2.58,7.88,0.00,,17064,10,-11.4,-70.63,1.26,
3798,N D Metal Inds.,103,10.3,25.54,0.06,429.17,0.21,0.85,121.62,0.00,6.55,0,10,15.73,-16.67,0.25,0.13
3799,Mukat Pipes,21.58,4.32,25.53,6.05,4.21,0.12,0.1,212.75,0.00,,57,5,-5.77,-175.00,1.18,
3801,Indifra Ltd,35,3.5,25.52,9.86,2.59,-1.19,-1.63,,0.00,1.41,4000,10,24.91,99.15,0.73,0.00
3800,Vijay Textiles,13.94,1.39,25.52,13.42,1.90,-23.52,-12.85,,0.00,0.57,0,10,24.67,-48050.00,1.83,4.84
3802,Interworld Digi.,0.53,0.53,25.35,0.06,422.59,-0.21,0,,0.00,0.30,0,1,1.75,16.67,47.84,0.02
3803,Zenlabs Ethica,38.9,3.89,25.32,57.35,0.44,0.39,0.6,64.92,0.64,2.50,2705,10,15.55,-73.33,0.65,1.47
3804,ACI Infocom,2.29,2.29,25.30,0.88,28.76,0.28,0.03,90.36,0.00,1.50,263966,1,1.53,-78.57,11.05,0.00
3805,Margo Finance,55.15,5.52,25.20,1.06,23.93,0.33,0.72,76.36,0.00,0.15,3488,10,366.59,433.33,0.46,0.00
3806,Sahaj Fashions,19.1,1.91,25.15,125.18,0.20,0.94,0.71,26.76,0.00,0.74,8000,10,25.65,,1.32,1.17
3807,MT Educare,3.48,0.35,25.14,48.54,0.52,-25.86,-3.58,,0.00,0.85,42973,10,4.07,72.02,7.22,4.59
3808,Tuni Text. Mills,1.92,1.92,25.08,70.99,0.35,0.38,0.03,66.00,0.00,1.88,517764,1,1.02,0.00,13.06,0.98
3810,Vrundavan Planta,47,4.7,25.06,18.83,1.32,1.69,3.17,14.83,0.00,,4800,10,,,0.53,0.41
3809,Sanblue Corp.,50.11,5.01,25.06,1.4,17.90,0.27,0.54,92.81,0.00,0.44,300,10,112.93,-150.00,0.5,0.00
3811,Gajanan Sec.Serv,80.72,8.07,25.04,0.31,80.72,0.85,2.74,29.46,0.00,0.22,35,10,370.02,-98.55,0.31,0.00
3812,IB Infotech,195.25,19.53,25.01,5.81,4.37,0.71,5.54,35.23,0.26,14.29,249,10,13.66,93.75,0.13,0.00
3813,White Organic,7.12,0.71,24.92,30.74,0.81,0.59,0.17,42.24,0.00,0.45,64570,10,15.94,163.03,3.5,0.00
3814,Stephanotis Fin.,38.58,3.86,24.88,0.79,31.25,-0.13,-0.2,,0.00,0.97,0,10,39.72,50.00,0.64,0.05
3815,Plada Infotech S,29,2.9,24.86,63.18,0.39,2.52,2.94,9.87,0.00,1.08,3000,10,26.93,54.55,0.86,0.62
3816,Jyotirgamya Ent.,108,10.8,24.84,0,,0,0,,0.00,7.96,0,10,13.57,,0.23,0.00
3817,Southern Latex,33.7,3.37,24.80,0,,0.2,0.27,124.00,0.00,3.79,91,10,8.89,-94.44,0.74,0.00
3818,Yash Mgmt & Sat.,14.54,1.45,24.72,48.33,0.51,0.14,0.42,35.83,0.00,1.05,15970,10,13.84,-67.13,1.7,0.17
3820,Daulat Securitie,49.27,4.93,24.64,8.99,2.74,6.52,13.04,3.78,0.00,1.02,16013,10,48.3,3025.00,0.5,0.00
3819,Suvidha Infra.,27.7,2.77,24.64,0.45,54.78,0.29,0.33,84.97,0.00,,100,10,-2.62,-155.56,0.89,
3821,Ajcon Global,40.11,4.01,24.55,14.88,1.64,1.06,1.65,24.31,0.00,1.07,794,10,37.52,250.00,0.61,0.44
3823,Jaihind Synth,28.7,2.87,24.53,0.2,121.98,0.04,0.05,613.25,0.00,1.63,813,10,17.57,-100.00,0.85,0.06
3822,Indergiri Fin.,48.47,4.85,24.53,1.07,23.10,-0.64,-1.26,,0.00,5.81,668,10,8.34,-257.14,0.51,1.00
3824,SSPDL Ltd,18.93,1.89,24.48,10.33,2.36,-2.71,-2.1,,0.00,6.17,4138,10,3.07,58.73,1.29,11.53
3825,JHS Svend.Retail,37.54,3.75,24.42,13.05,1.87,0.25,0.38,97.68,0.00,,99047,10,,11.11,0.65,0.11
3826,Anupam Finserv,2.11,2.11,24.40,3.34,7.30,0.99,0.09,24.16,0.00,1.57,160983,1,1.35,-4.76,11.56,0.15
3827,Samsrita Labs,16.48,1.65,24.40,0,,-0.26,-0.18,,0.00,1.98,5018,10,8.33,-28.57,1.48,0.18
3828,Octavius Plant.,80.99,8.1,24.30,25.29,0.96,1.84,6.13,13.21,0.00,1.34,313,10,60.5,-57.14,0.3,0.11
3829,LWS Knitwear,48,4.8,24.29,85.98,0.28,1.66,3.28,14.63,0.00,1.99,27,10,24.1,-73.55,0.51,1.60
3830,Niks Technology,570.95,57.1,24.27,6.11,3.74,0.45,10.59,53.93,0.00,6.85,0,10,83.29,-63.64,0.04,0.04
3831,Easy Fincorp,990,99,24.26,0,,-0.16,-6.53,,0.00,1.67,0,10,592.24,0.00,0.02,0.29
3832,Reliable Ventur.,22,2.2,24.22,2.01,12.04,-1.37,-1.24,,0.00,0.78,7180,10,28.33,-152.94,1.1,0.02
3833,Harish Textile,72.52,7.25,24.19,133.43,0.18,-0.21,-0.63,,0.00,2.61,16398,10,27.76,112.79,0.33,3.90
3834,SecUR Credential,5.86,0.59,24.06,38.25,0.63,4.81,1.17,5.00,0.00,0.49,554482,10,12.02,-87.38,4.11,0.46
3835,TGIF Agribusines,92.95,9.3,24.05,1.53,15.80,0.67,3.53,35.90,0.00,,2400,10,,,0.26,0.00
3836,Bhakti Gems,15.98,1.6,24.03,95.15,0.25,0.61,0.41,39.39,0.00,1.02,23161,10,15.63,-66.67,1.5,0.07
3837,Sancode Tech.,59,5.9,24.01,4.76,5.08,-1.75,-4.89,,0.00,4.13,3000,10,14.28,95.45,0.41,0.24
3838,Ajwa Fun World,37.45,3.75,23.93,2.99,8.02,0.79,1.24,30.29,0.00,,200,10,-3.43,1666.67,0.64,
3839,Caprolactam Chem,51.99,5.2,23.92,6.02,3.97,-0.37,-0.8,,0.00,4.31,79,10,12.07,-325.00,0.46,1.06
3840,BNR Udyog,79.68,7.97,23.90,3.24,7.38,1.19,3.97,20.08,0.00,2.34,2264,10,34.1,-29.63,0.3,0.00
3841,Tradewell Hold,79.48,7.95,23.84,37.58,0.63,1.77,5.89,13.47,0.00,3.73,100,10,21.3,-115.65,0.3,0.43
3843,Novateor Resear.,49.25,4.93,23.81,1.21,19.54,0.03,0.06,793.67,0.00,3.01,3000,10,16.36,100.00,0.48,0.13
3842,Innovative Ideal,20.92,2.09,23.81,0.25,95.40,-2.46,-2.16,,0.00,7.35,18000,10,2.85,-253.70,1.14,6.06
3844,Popular Estate,17,1.7,23.80,0,,-0.54,-0.39,,0.00,0.55,1,10,30.74,-23.08,1.4,0.18
3845,Yogi Infra Proj.,14.1,1.41,23.76,146.49,0.16,0.73,0.43,26.70,0.00,0.51,2290,10,27.43,-123.13,1.68,0.98
3846,Magenta Life,34.53,3.45,23.72,8.76,2.72,0.74,1.52,32.05,0.00,,36000,10,,495.65,0.69,0.48
3847,Glance Finance,104.95,10.5,23.68,24.07,1.00,2.37,10.51,9.99,0.00,0.65,337,10,161.27,59.65,0.23,0.19
3848,Paramount Cosmet,48.75,4.88,23.67,20.8,1.15,-0.01,-0.02,,0.00,1.16,2035,10,41.85,104.76,0.49,0.60
3849,Amin Tannery,2.19,2.19,23.65,42.79,0.55,0.32,0.03,73.91,0.00,1.89,41516,1,1.16,-41.67,10.8,2.29
3850,Jagjanani Text.,15.14,1.51,23.62,0,,-0.1,-0.06,,0.00,295.23,2543,10,0.05,66.67,1.56,1.62
3851,Prag Bosimi Syn.,3.17,0.32,23.58,0.06,393.08,-11.71,-1.57,,0.00,3.18,16196,10,1,35.13,7.44,21.44
3852,MASK INVESTMENTS,77.16,7.72,23.55,0.75,31.89,0.03,0.1,785.00,0.00,0.15,140,10,506.18,95.00,0.31,0.01
3853,Duke Offshore,23.82,2.38,23.48,2.83,8.33,-0.2,-0.2,,0.00,3.32,4275,10,7.18,-144.44,0.99,0.02
3855,Dynamic Industri,77.3,7.73,23.42,46.83,0.50,0.35,1.16,66.91,1.29,0.50,5886,10,154.2,422.22,0.3,0.32
3854,Ritesh Intl.,27.39,2.74,23.42,88.81,0.27,0.19,0.22,123.26,0.00,1.21,5819,10,22.57,800.00,0.86,0.30
3856,Jainex Aamcol,156,15.6,23.40,22.23,1.05,0.93,6.22,25.16,0.00,3.37,224,10,46.25,6.45,0.15,0.61
3857,KCL Infra,1.38,0.69,23.31,8.11,2.87,0.67,0.04,34.79,0.00,0.43,321224,2,3.24,135.19,16.89,0.07
3858,Tai Industries,38.84,3.88,23.30,175.3,0.13,1.58,2.63,14.75,0.00,0.80,1146,10,48.27,-71.88,0.6,0.06
3859,Antarctica,1.5,1.5,23.25,0.81,28.70,-0.62,-0.04,,0.00,1.43,1602886,1,1.05,0.00,15.5,0.17
3860,Suncity Synth.,46.96,4.7,23.23,1.71,13.46,0.13,0.26,,0.00,258.06,15452,10,0.18,-131.71,0.49,58.00
3861,Karnavati Financ,2.31,2.31,23.22,3.1,7.49,-1.19,-0.12,,0.00,1.95,40892,1,1.19,166.67,10.05,1.31
3862,Jaipan Industrie,37.95,3.8,23.15,23.62,0.98,-10.8,-17.71,,0.00,5.59,2933,10,6.79,100.48,0.61,1.34
